id,q2_adjust
927,primary_focus
941,primary_focus
942,primary_focus
950,primary_focus
965,primary_focus
969,primary_focus
5,primary_focus
7,primary_focus
12,primary_focus
15,primary_focus
16,primary_focus
27,primary_focus
39,primary_focus
49,primary_focus
69,primary_focus
70,primary_focus
78,primary_focus
79,primary_focus
81,primary_focus
84,primary_focus
107,primary_focus
109,primary_focus
114,primary_focus
119,primary_focus
143,primary_focus
144,primary_focus
196,primary_focus
202,primary_focus
214,primary_focus
216,primary_focus
221,primary_focus
228,primary_focus
234,primary_focus
244,primary_focus
251,primary_focus
252,primary_focus
259,primary_focus
267,primary_focus
270,primary_focus
273,primary_focus
281,primary_focus
290,primary_focus
293,primary_focus
298,primary_focus
305,primary_focus
309,primary_focus
313,primary_focus
318,primary_focus
321,primary_focus
323,primary_focus
343,primary_focus
357,primary_focus
359,primary_focus
369,primary_focus
371,primary_focus
383,primary_focus
388,primary_focus
412,primary_focus
425,primary_focus
435,primary_focus
438,primary_focus
461,primary_focus
469,primary_focus
506,primary_focus
507,primary_focus
510,primary_focus
523,primary_focus
525,primary_focus
531,primary_focus
532,primary_focus
537,primary_focus
566,primary_focus
583,primary_focus
604,primary_focus
617,primary_focus
627,primary_focus
651,primary_focus
663,primary_focus
667,primary_focus
671,primary_focus
685,primary_focus
691,primary_focus
700,primary_focus
705,primary_focus
707,primary_focus
716,primary_focus
743,primary_focus
772,primary_focus
773,primary_focus
778,primary_focus
780,primary_focus
807,primary_focus
813,primary_focus
827,primary_focus
837,primary_focus
853,primary_focus
863,primary_focus
869,primary_focus
876,primary_focus
877,primary_focus
880,primary_focus
894,primary_focus
895,primary_focus
901,primary_focus
961,primary_focus
973,primary_focus
974,primary_focus
975,primary_focus
990,primary_focus
1004,primary_focus
1008,primary_focus
1013,primary_focus
1018,primary_focus
1023,primary_focus
1040,primary_focus
1043,primary_focus
1047,primary_focus
1049,primary_focus
1052,primary_focus
1053,primary_focus
1054,primary_focus
1063,primary_focus
1075,primary_focus
1078,primary_focus
1088,primary_focus
1109,primary_focus
1119,primary_focus
1140,primary_focus
1143,primary_focus
1160,primary_focus
1169,primary_focus
1171,primary_focus
1174,primary_focus
1180,primary_focus
1181,primary_focus
1185,primary_focus
1186,primary_focus
1190,primary_focus
1192,primary_focus
1203,primary_focus
1204,primary_focus
1210,primary_focus
1229,primary_focus
1234,primary_focus
132,primary_focus 
242,primary_focus 
424,primary_focus 
479,primary_focus 
738,primary_focus 
754,primary_focus
171,primary_focus
56,specific_projects
66,specific_projects
182,specific_projects
193,specific_projects
551,specific_projects
596,specific_projects
634,specific_projects
783,specific_projects
824,specific_projects
864,specific_projects
962,specific_projects
1189,specific_projects
954,specific_projects 
106,specific_projects
116,specific_projects
207,specific_projects
232,specific_projects
236,specific_projects
417,specific_projects
533,specific_projects
673,specific_projects
749,specific_projects
1057,specific_projects
1070,specific_projects
127,specific_projects 
